id,UserID,TestID,library,soundQuality,soundSpatialQuality,duration,versionSha,os
558,user_lKAkyOQhM76hx4qCKQWsU,fZZ6lfG4PYJ1WujSXf-yR,resonance,6,6,,69f856d4a458de2db64364c4de1b8229b4bcbd8e,windows
561,user_lKAkyOQhM76hx4qCKQWsU,fZZ6lfG4PYJ1WujSXf-yR,mach1,8,6,,69f856d4a458de2db64364c4de1b8229b4bcbd8e,windows
560,user_lKAkyOQhM76hx4qCKQWsU,fZZ6lfG4PYJ1WujSXf-yR,js-ambisonics,3,4,,69f856d4a458de2db64364c4de1b8229b4bcbd8e,windows
559,user_lKAkyOQhM76hx4qCKQWsU,fZZ6lfG4PYJ1WujSXf-yR,web-api,8,6,,69f856d4a458de2db64364c4de1b8229b4bcbd8e,windows
565,user_rmNfMn63zeX-TYzRI9h9h,gaQJxRysoD5aYe3_SduG-,mach1,10,10,,69f856d4a458de2db64364c4de1b8229b4bcbd8e,macos
562,user_rmNfMn63zeX-TYzRI9h9h,gaQJxRysoD5aYe3_SduG-,resonance,10,10,,69f856d4a458de2db64364c4de1b8229b4bcbd8e,macos
563,user_rmNfMn63zeX-TYzRI9h9h,gaQJxRysoD5aYe3_SduG-,web-api,10,10,,69f856d4a458de2db64364c4de1b8229b4bcbd8e,macos
564,user_rmNfMn63zeX-TYzRI9h9h,gaQJxRysoD5aYe3_SduG-,js-ambisonics,10,10,,69f856d4a458de2db64364c4de1b8229b4bcbd8e,macos
590,user_123uFGvf6xOh2NKwHc2#FDS,I8OXknqzZ0SKcUs_Xlln2,resonance,6,8,,780c00fc6848d38b517384c79145f2022749694d,macos
593,user_123uFGvf6xOh2NKwHc2#FDS,I8OXknqzZ0SKcUs_Xlln2,mach1,8,8,,780c00fc6848d38b517384c79145f2022749694d,macos
592,user_123uFGvf6xOh2NKwHc2#FDS,I8OXknqzZ0SKcUs_Xlln2,js-ambisonics,5,8,,780c00fc6848d38b517384c79145f2022749694d,macos
591,user_123uFGvf6xOh2NKwHc2#FDS,I8OXknqzZ0SKcUs_Xlln2,web-api,7,7,,780c00fc6848d38b517384c79145f2022749694d,macos
566,user_Q3Y_vlCliOoKVS0Ls2Hgt,H-dsRhTNc2PlvVad-_A0t,resonance,8,3,,69f856d4a458de2db64364c4de1b8229b4bcbd8e,ios
569,user_Q3Y_vlCliOoKVS0Ls2Hgt,H-dsRhTNc2PlvVad-_A0t,mach1,7,8,,69f856d4a458de2db64364c4de1b8229b4bcbd8e,ios
567,user_Q3Y_vlCliOoKVS0Ls2Hgt,H-dsRhTNc2PlvVad-_A0t,web-api,9,4,,69f856d4a458de2db64364c4de1b8229b4bcbd8e,ios
568,user_Q3Y_vlCliOoKVS0Ls2Hgt,H-dsRhTNc2PlvVad-_A0t,js-ambisonics,9,2,,69f856d4a458de2db64364c4de1b8229b4bcbd8e,ios
